name,nickname,f_name,l_name,wins,loses,ties,height,weight,reach,stance,dob,age,slpm,str_ac,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Kyoji Horiguchi,,Kyoji,Horiguchi,19,2,0,65,125,66,Orthodox,"Oct 12, 1990",31,3.6,0.45,2.45,0.62,2.0,0.44,0.55,0.0
Jeremy Horn,Gumby,Jeremy,Horn,91,22,5,73,185,74,Orthodox,"Aug 25, 1975",46,1.19,0.39,1.99,0.55,1.83,0.38,0.29,1.1
Yoshinori Horie,,Yoshinori,Horie,8,2,0,68,145,70,Orthodox,"May 10, 1995",26,2.76,0.49,5.65,0.48,0.0,0.0,0.0,0.0
Moti Horenstein,,Moti,Horenstein,1,6,0,76,230,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamey-Lyn Horth,,Jamey-Lyn,Horth,4,0,0,67,125,N/A,N/A,"Mar 30, 1990",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Hooper,The Dream,Chase,Hooper,10,2,1,73,145,74,Southpaw,"Sep 13, 1999",22,3.87,0.46,3.79,0.36,0.96,0.18,0.5,2.2
Lorenzo Hood,Dream Killer,Lorenzo,Hood,14,5,0,75,265,80,Southpaw,"Mar 02, 1989",33,2.64,0.61,4.66,0.11,0.0,0.0,1.0,0.0
Dan Hooker,The Hangman,Dan,Hooker,21,12,0,72,145,75,Switch,"Feb 13, 1990",32,4.91,0.47,4.81,0.51,0.89,0.36,0.78,0.2
Chris Horodecki,The Polish Hammer,Chris,Horodecki,21,7,1,69,155,69,Orthodox,"Sep 24, 1987",34,4.59,0.41,3.16,0.65,1.52,0.55,0.37,0.9
Chris Honeycutt,The Cutt,Chris,Honeycutt,9,1,0,70,170,73,N/A,"Jul 25, 1988",33,2.99,0.44,1.41,0.66,3.4,0.45,0.75,0.0
Darrell Horcher,The Saint,Darrell,Horcher,13,4,0,70,155,70,Southpaw,"Jul 28, 1987",34,2.05,0.44,4.21,0.39,0.35,0.5,0.47,0.7
Satoshi Honma,,Satoshi,Honma,4,6,3,73,205,N/A,Orthodox,"May 19, 1968",53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Holst,Boots,Mark,Holst,12,6,0,72,155,N/A,Orthodox,"Aug 14, 1985",36,0.25,0.19,1.67,0.47,0.76,1.0,0.6,2.3
Scott Holtzman,Hot Sauce,Scott,Holtzman,14,5,0,69,155,69,Orthodox,"Sep 30, 1983",38,4.32,0.48,3.58,0.53,2.07,0.56,0.66,0.2
Sabah Homasi,,Sabah,Homasi,11,8,0,72,170,72,Orthodox,"Oct 19, 1988",33,4.98,0.48,6.91,0.47,2.8,0.5,0.66,0.0
David Hood,,David,Hood,1,3,0,72,200,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurt Holobaugh,,Kurt,Holobaugh,17,7,0,71,155,70,Orthodox,"Sep 08, 1986",35,4.51,0.42,4.28,0.46,0.97,0.36,0.45,0.7
Joseph Holmes,Uglyman Joe,Joseph,Holmes,7,2,0,76,185,80,Orthodox,"Jul 04, 1995",26,2.77,0.48,2.99,0.59,1.32,0.28,0.6,0.7
Ben Holscher,The Teacher,Ben,Holscher,4,0,0,71,155,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rex Holman,Big Dog,Rex,Holman,4,2,0,75,205,N/A,Southpaw,N/A,N/A,2.75,0.34,7.25,0.4,0.0,0.0,1.0,0.0
Mark Hominick,The Machine,Mark,Hominick,20,12,0,68,145,68,Orthodox,"Jul 22, 1982",39,4.08,0.42,4.18,0.69,0.25,0.66,0.71,0.9
Barb Honchak,Little Warrior,Barb,Honchak,10,4,0,64,125,65,Orthodox,"Aug 30, 1979",42,4.04,0.3,4.67,0.66,0.0,0.0,0.0,1.3
Gabrielle Holloway,Gabanator,Gabrielle,Holloway,6,5,0,63,145,N/A,N/A,"Apr 15, 1990",32,0.7,0.42,3.07,0.34,3.0,0.35,0.16,1.0
Roger Hollett,The Hulk,Roger,Hollett,13,5,0,71,205,N/A,Orthodox,"Oct 08, 1978",43,1.83,0.47,6.47,0.34,1.0,0.28,0.3,0.0
Paddy Holohan,The Hooligan,Paddy,Holohan,12,2,1,70,125,69,Orthodox,"May 03, 1988",33,2.13,0.46,2.81,0.46,2.88,0.47,0.71,1.3
Holly Holm,The Preacher's Daughter,Holly,Holm,14,5,0,68,135,69,Southpaw,"Oct 17, 1981",40,3.16,0.38,2.8,0.57,0.81,0.3,0.76,0.1
Max Holloway,Blessed,Max,Holloway,23,6,0,71,145,69,Orthodox,"Dec 04, 1991",30,7.38,0.47,4.69,0.6,0.31,0.66,0.84,0.3
Sean Holden,,Sean,Holden,5,2,0,70,170,N/A,N/A,"Sep 17, 1984",37,2.4,0.59,0.6,0.59,5.0,0.83,0.0,2.0
Kevin Holland,Trailblazer,Kevin,Holland,22,7,0,75,185,81,Orthodox,"Nov 05, 1992",29,3.84,0.55,2.38,0.55,0.87,0.45,0.49,0.5
Chris Holdsworth,,Chris,Holdsworth,6,0,0,71,135,N/A,N/A,"Oct 24, 1987",34,1.85,0.29,1.94,0.58,3.38,0.62,1.0,2.0
Jeremie Holloway,Hit Em,Jeremie,Holloway,8,3,0,72,170,N/A,N/A,"Sep 29, 1984",37,0.81,0.5,0.51,0.79,0.0,0.0,0.0,0.0
Andrew Holbrook,,Andrew,Holbrook,12,3,0,71,155,70,Southpaw,"Feb 06, 1986",36,2.2,0.49,3.0,0.54,0.85,0.18,0.1,2.1
Kwan Ho Kwak,,Kwan,Ho,9,2,0,65,135,N/A,Switch,"Jun 18, 1989",32,3.29,0.41,3.45,0.47,0.78,1.0,0.26,0.0
Sam Hoger,The Alaskan Assassin,Sam,Hoger,10,4,0,74,205,N/A,Orthodox,"Jun 28, 1980",41,1.07,0.25,2.25,0.57,1.12,0.38,0.29,1.3
Kuniyoshi Hironaka,,Kuniyoshi,Hironaka,23,9,0,70,168,70,Orthodox,"Jun 17, 1976",45,1.98,0.4,3.01,0.54,1.91,0.3,0.25,0.6
Alan Hiro,Yamaniha,Alan,Hiro,14,5,4,65,135,N/A,Orthodox,"Apr 04, 1986",36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hatsu Hioki,,Hatsu,Hioki,29,10,2,71,145,73,Orthodox,"Jul 18, 1983",38,2.42,0.42,2.12,0.65,2.55,0.56,0.54,0.6
Bobby Hoffman,The Truth,Bobby,Hoffman,36,10,1,74,245,N/A,Orthodox,"Oct 28, 1968",53,2.02,0.7,1.32,0.19,1.17,0.5,0.0,1.2
Branden Lee Hinkle,The Iron Lion,Branden,Lee,17,11,0,75,235,N/A,Orthodox,"Jul 29, 1973",48,2.61,0.69,3.91,0.26,4.34,0.57,0.66,4.3
Matt Hobar,The Crowbar,Matt,Hobar,9,3,0,70,135,70,Southpaw,"Jan 07, 1987",35,3.23,0.42,4.27,0.52,3.66,0.44,0.5,0.0
Kailan Hill,,Kailan,Hill,4,1,0,73,185,77,Southpaw,"Dec 01, 1994",27,2.6,0.53,4.8,0.37,3.0,0.42,0.0,0.0
Yuji Hisamatsu,,Yuji,Hisamatsu,16,22,6,70,185,N/A,N/A,"Sep 18, 1971",50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamahal Hill,Sweet Dreams,Jamahal,Hill,10,1,0,76,205,79,Southpaw,"May 19, 1991",30,7.06,0.51,3.71,0.45,0.0,0.0,0.6,0.0
Mizuto Hirota,Pugnus,Mizuto,Hirota,18,10,2,67,155,67,Orthodox,"May 05, 1981",40,3.36,0.4,3.5,0.54,1.36,0.5,0.58,0.1
Tyler Hill,,Tyler,Hill,8,2,0,75,170,N/A,Switch,"Aug 10, 1991",30,3.64,0.39,5.33,0.47,0.0,0.0,0.0,0.0
Isaiah Hill,,Isaiah,Hill,5,7,1,70,155,N/A,N/A,N/A,N/A,4.84,0.5,0.97,0.8,0.0,0.0,0.66,14.5
Corey Hill,,Corey,Hill,6,9,0,76,155,80,Orthodox,"Oct 03, 1978",43,3.57,0.46,1.61,0.7,3.02,0.8,1.0,0.0
Alex Higley,,Alex,Higley,4,3,0,70,145,N/A,N/A,N/A,N/A,0.29,1.0,1.74,0.6,0.0,0.0,0.0,0.0
Angela Hill,Overkill,Angela,Hill,13,11,0,63,115,64,Orthodox,"Jan 12, 1985",37,5.56,0.49,5.15,0.62,0.57,0.3,0.78,0.1
Jay Hieron,The Thoroughbred,Jay,Hieron,23,7,0,72,170,75,Orthodox,"Jul 29, 1976",45,1.66,0.32,1.89,0.61,4.05,0.6,0.66,1.0
Richie Hightower,The Dirty Samurai,Richie,Hightower,8,4,0,68,170,N/A,Orthodox,"Nov 26, 1974",47,4.62,0.35,6.92,0.21,3.46,1.0,1.0,0.0
Conor Heun,Hurricane,Conor,Heun,9,5,0,70,155,N/A,Orthodox,"Feb 11, 1979",43,2.92,0.36,3.66,0.54,2.45,0.31,0.33,0.3
Jason High,The Kansas City Bandit,Jason,High,21,6,0,68,155,73,Southpaw,"Oct 12, 1981",40,1.28,0.42,1.56,0.48,2.36,0.63,0.37,2.8
Brady Hiestand,Bam Bam,Brady,Hiestand,6,2,0,68,135,71,Orthodox,"Apr 30, 1999",22,4.4,0.49,6.67,0.41,6.0,0.54,0.5,0.0
Marcus Hicks,The Wrecking Ball,Marcus,Hicks,10,4,0,66,155,64,Southpaw,"Nov 25, 1975",46,1.42,0.43,3.06,0.61,2.7,0.53,0.25,4.0
Brandon Hester,The Beast,Brandon,Hester,3,0,0,73,205,N/A,N/A,N/A,N/A,3.53,0.53,0.4,0.68,4.0,0.8,0.0,0.0
Jon Hess,,Jon,Hess,1,1,0,79,295,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimy Hettes,The Kid,Jimy,Hettes,11,3,0,69,145,71,Southpaw,"Jun 09, 1987",34,3.47,0.57,3.5,0.57,5.2,0.44,0.61,1.4
Heath Herring,The Texas Crazy Horse,Heath,Herring,28,16,0,76,250,78,Orthodox,"Mar 02, 1978",44,2.37,0.5,1.77,0.54,1.22,0.5,0.32,0.7
Alvaro Herrera Mendoza,Chango,Alvaro,Herrera,9,6,0,72,155,74,Orthodox,"May 14, 1990",31,1.89,0.38,3.4,0.55,0.0,0.0,0.33,1.1
Felice Herrig,Lil Bulldog,Felice,Herrig,14,9,0,64,115,65,Orthodox,"Sep 18, 1984",37,3.63,0.36,4.84,0.49,1.18,0.3,0.72,0.9
Lee Higgins,,Lee,Higgins,2,1,0,N/A,155,N/A,N/A,"Jul 14, 1980",41,1.02,0.26,3.68,0.4,0.0,0.0,0.0,0.0
Paul Herrera,The Bone Crusher,Paul,Herrera,1,1,0,70,185,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Herrera,The Crusher,Chris,Herrera,3,2,1,70,185,N/A,N/A,N/A,N/A,2.04,0.37,3.35,0.48,1.8,1.0,1.0,0.0
Geane Herrera,La Pulga,Geane,Herrera,9,3,0,65,125,66,Orthodox,"May 27, 1990",31,1.51,0.31,5.07,0.52,0.83,0.37,0.38,0.6
Anthony Hernandez,Fluffy,Anthony,Hernandez,9,2,0,72,185,75,Orthodox,"Oct 18, 1993",28,4.26,0.58,3.93,0.46,5.39,0.7,0.66,2.3
Carlos Hernandez,,Carlos,Hernandez,8,1,0,68,125,67,Orthodox,"Oct 25, 1993",28,5.37,0.47,4.37,0.45,1.0,0.11,0.7,0.5
Nohelin Hernandez,Suave,Nohelin,Hernandez,9,4,0,70,135,71,Orthodox,"Mar 01, 1994",28,1.32,0.34,2.63,0.52,0.71,0.5,0.37,0.0
Clint Hester,Headbussa,Clint,Hester,11,6,0,74,205,77,Orthodox,"Nov 21, 1986",35,3.36,0.42,3.44,0.56,1.02,0.35,0.6,0.0
Joe Hernandez,,Joe,Hernandez,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramiro Hernandez,Junior,Ramiro,Hernandez,19,9,0,69,135,N/A,Orthodox,"Jul 22, 1986",35,2.72,0.28,5.51,0.64,0.0,0.0,0.0,0.0
Noe Hernandez,,Noe,Hernandez,5,5,0,N/A,N/A,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dave Herman,,Dave,Herman,22,6,0,76,242,77,Orthodox,"Oct 03, 1984",37,4.98,0.6,3.78,0.48,1.49,1.0,0.58,0.0
TJ Hepburn,The Carnivore,TJ,Hepburn,4,2,0,67,155,N/A,N/A,N/A,N/A,0.73,0.37,0.13,0.81,2.0,0.4,0.6,0.0
Ed Herman,Short Fuse,Ed,Herman,27,15,0,73,205,77,Orthodox,"Oct 02, 1980",41,3.28,0.48,3.52,0.42,2.08,0.48,0.59,1.1
Jai Herbert,Black Country Banger,Jai,Herbert,11,4,0,73,155,77,Orthodox,"May 13, 1988",33,2.47,0.36,2.9,0.45,0.0,0.0,0.42,0.0
Victor Henry,La Mangosta,Victor,Henry,22,5,0,67,135,68,Switch,"May 04, 1987",34,12.07,0.51,8.93,0.51,0.0,0.0,0.85,0.0
Luis Henrique,KLB,Luis,Henrique,10,5,0,74,243,74,Orthodox,"Aug 21, 1993",28,1.81,0.43,2.22,0.47,3.09,0.36,0.5,1.0
Alexander Hernandez,The Great Ape,Alexander,Hernandez,13,5,0,69,155,72,Orthodox,"Oct 01, 1992",29,3.97,0.37,3.94,0.57,1.43,0.33,0.64,0.0
Danny Henry,The Hatchet,Danny,Henry,12,4,0,72,145,73,Orthodox,"Jul 17, 1988",33,5.2,0.51,4.16,0.45,0.74,0.33,0.5,2.2
Jack Hermansson,The Joker,Jack,Hermansson,22,7,0,73,185,77,Orthodox,"Jun 10, 1988",33,4.97,0.44,3.83,0.54,1.73,0.3,0.75,0.5
Josh Hendricks,,Josh,Hendricks,19,11,0,74,235,N/A,Southpaw,"Aug 28, 1976",45,0.98,0.2,11.8,0.29,0.0,0.0,0.0,0.0
Cory Hendricks,,Cory,Hendricks,3,1,0,75,205,N/A,N/A,"May 10, 1988",33,3.13,0.39,4.07,0.42,0.0,0.0,1.0,0.0
Johny Hendricks,Bigg Rigg,Johny,Hendricks,18,8,0,69,185,69,Southpaw,"Sep 12, 1983",38,3.49,0.45,3.99,0.53,3.83,0.46,0.63,0.3
Elisha Helsper,Knuckles,Elisha,Helsper,0,4,0,66,135,N/A,Orthodox,"Feb 06, 1983",39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benson Henderson,Smooth,Benson,Henderson,24,7,0,69,170,70,Southpaw,"Nov 16, 1983",38,2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8
Ron Henderson,,Ron,Henderson,4,3,0,70,125,N/A,N/A,N/A,N/A,2.53,0.25,3.6,0.48,1.0,0.2,0.0,0.0
Diego Henrique da Silva,Gaucho,Diego,Henrique,8,4,0,74,185,N/A,Orthodox,"Aug 22, 1986",35,2.53,0.57,3.27,0.3,0.0,0.0,0.63,0.0
Matt Helm,,Matt,Helm,1,1,0,N/A,155,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delson Heleno,Pe De Chumbo,Delson,Heleno,29,10,0,71,185,N/A,Orthodox,"Nov 16, 1977",44,0.69,0.75,4.83,0.19,0.0,0.0,0.0,0.0
Marcin Held,,Marcin,Held,23,7,0,69,155,71,Orthodox,"Jan 18, 1992",30,1.41,0.34,2.02,0.47,2.46,0.46,0.37,1.3
Ian Heinisch,The Hurricane,Ian,Heinisch,14,5,0,71,185,72,Orthodox,"Aug 05, 1988",33,3.25,0.5,2.98,0.59,1.02,0.17,0.59,0.7
Nick Hein,Sergeant,Nick,Hein,14,5,0,66,155,66,Southpaw,"Apr 24, 1984",38,2.65,0.35,3.61,0.59,0.86,0.33,0.83,0.0
Jake Hecht,Hitman,Jake,Hecht,11,4,0,72,170,73,Orthodox,"Feb 09, 1984",38,3.26,0.47,2.76,0.56,2.04,0.37,0.4,0.0
Chris Heatherly,Stump,Chris,Heatherly,9,4,0,69,155,N/A,Orthodox,"Nov 24, 1987",34,1.08,0.45,2.67,0.52,3.39,0.5,1.0,0.7
David Heath,,David,Heath,18,7,0,71,205,72,Orthodox,"Feb 10, 1976",46,1.48,0.3,5.16,0.49,0.33,0.5,0.57,1.0
Pat Healy,Bam Bam,Pat,Healy,34,23,0,72,155,72,Orthodox,"Jul 20, 1983",38,2.57,0.36,2.57,0.5,3.08,0.37,0.55,1.1
James Head,,James,Head,9,4,0,73,170,73,Orthodox,"Feb 09, 1984",38,2.75,0.48,3.11,0.49,0.41,1.0,0.66,0.8
Spencer Hearns,,Spencer,Hearns,1,0,0,71,185,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Healy,The Irish Assassin,Ryan,Healy,25,14,1,73,155,N/A,Orthodox,"Jul 20, 1983",38,1.67,0.35,3.0,0.38,3.0,0.5,0.4,1.0
Dan Henderson,Hendo,Dan,Henderson,32,15,0,71,185,74,Orthodox,"Aug 24, 1970",51,2.44,0.47,2.7,0.51,1.52,0.52,0.57,0.3
Dustin Hazelett,McLovin,Dustin,Hazelett,12,7,0,73,170,76,Orthodox,"Apr 29, 1986",35,2.24,0.4,3.51,0.46,0.55,0.5,0.25,4.1
Mike Hayes,,Mike,Hayes,20,12,2,76,230,N/A,Orthodox,N/A,N/A,4.87,0.55,1.47,0.77,0.0,0.0,0.75,4.0
Del Hawkins,The Filipino Delight,Del,Hawkins,22,17,0,65,135,N/A,Orthodox,N/A,N/A,1.15,0.27,2.01,0.46,0.0,0.0,0.0,0.0
Justin Hawes,The Hawk,Justin,Hawes,6,9,0,71,205,N/A,N/A,"Jan 13, 1979",43,0.0,0.0,3.41,0.37,0.0,0.0,0.0,0.0
Ryan Hayes,,Ryan,Hayes,7,6,0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Hawk,,Chris,Hawk,5,10,0,73,205,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daiki Hata,DJ Taiki,Daiki,Hata,17,11,7,66,139,N/A,Orthodox,"Aug 24, 1982",39,1.44,0.39,1.42,0.55,0.67,1.0,0.35,0.7
Phil Hawes,Megatron,Phil,Hawes,11,3,0,72,185,77,Orthodox,"Jan 08, 1989",33,4.2,0.56,3.43,0.51,2.42,0.33,1.0,0.3
John Hathaway,The Hitman,John,Hathaway,17,2,0,73,170,75,Orthodox,"Jul 23, 1987",34,3.4,0.4,1.8,0.62,2.61,0.43,0.6,0.9
Gerric Hayes,,Gerric,Hayes,8,11,0,70,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Haynes,Bring the Pain,Josh,Haynes,14,11,0,69,170,N/A,Orthodox,"Jul 30, 1977",44,1.25,0.22,4.03,0.52,0.94,0.18,0.42,0.0
Tomohiko Hashimoto,,Tomohiko,Hashimoto,1,4,0,72,250,N/A,Orthodox,N/A,N/A,0.0,0.0,11.67,0.3,0.0,0.0,0.0,0.0
Tommy Hayden,Wild Card,Tommy,Hayden,11,3,0,69,145,N/A,Southpaw,"Mar 11, 1986",36,1.48,0.27,2.05,0.55,3.42,0.33,0.66,0.0
Justin Haskins,,Justin,Haskins,7,6,0,70,170,N/A,Orthodox,"Aug 30, 1979",42,1.51,0.33,2.65,0.54,1.62,0.4,0.52,0.8
Chris Haseman,The Hammer,Chris,Haseman,20,17,0,71,205,N/A,Orthodox,"Jun 02, 1969",52,0.93,0.7,4.67,0.28,0.0,0.0,0.4,2.0
Hidehiko Hasegawa,,Hidehiko,Hasegawa,19,20,6,69,170,N/A,N/A,"Jul 13, 1978",43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay Harvison,Bushwacker,Clay,Harvison,13,6,0,73,170,74,Orthodox,"Sep 25, 1980",41,3.29,0.48,3.91,0.58,0.66,1.0,0.68,1.3
Takayo Hashi,,Takayo,Hashi,15,6,1,64,135,N/A,Orthodox,"Oct 02, 1977",44,2.84,0.26,6.56,0.61,0.0,0.0,0.0,0.0
Hayder Hassan,Hulk,Hayder,Hassan,6,3,0,70,170,N/A,N/A,"Oct 20, 1982",39,2.11,0.46,3.16,0.48,0.0,0.0,0.25,0.0
Luke Hartwig,,Luke,Hartwig,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Hart,,Collin,Hart,6,3,1,73,185,N/A,Orthodox,"Oct 12, 1989",32,6.33,0.44,7.53,0.51,2.0,0.16,0.5,0.0
Dale Hartt,,Dale,Hartt,6,3,0,70,155,69,Orthodox,"Apr 04, 1979",43,1.14,0.35,1.55,0.66,1.22,1.0,0.25,2.5
Carlston Harris,Mocambique,Carlston,Harris,17,5,0,72,170,76,Orthodox,"Jul 09, 1987",34,4.03,0.45,2.07,0.66,0.0,0.0,0.75,1.6
Walt Harris,The Big Ticket,Walt,Harris,13,10,0,77,250,77,Southpaw,"Jun 10, 1983",38,3.05,0.39,3.33,0.54,0.29,0.28,0.7,0.1
Dhafir Harris,Dada 5000,Dhafir,Harris,2,0,0,N/A,257,N/A,N/A,"Aug 04, 1977",44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Harris,,Trevor,Harris,2,2,0,66,145,N/A,N/A,N/A,N/A,1.73,0.5,0.43,0.75,0.0,0.0,0.5,6.5
Gerald Harris,,Gerald,Harris,23,5,0,71,185,77,Southpaw,"Nov 19, 1979",42,1.41,0.29,1.58,0.62,2.96,0.54,0.72,0.0
Baru Harn,Seiryu,Baru,Harn,1,2,0,N/A,265,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Harper,,Scott,Harper,12,7,0,72,185,N/A,Orthodox,"Apr 14, 1972",50,1.3,0.54,4.98,0.47,3.25,1.0,0.0,0.0
Gerry Harris,,Gerry,Harris,1,4,0,80,270,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Hardy,The Outlaw,Dan,Hardy,25,10,0,72,170,74,Orthodox,"May 17, 1982",39,2.46,0.35,3.44,0.51,0.73,0.35,0.35,0.4
Greg Hardy,Prince of War,Greg,Hardy,7,5,0,77,265,80,Orthodox,"Jul 28, 1988",33,4.79,0.5,3.31,0.55,0.2,0.33,0.64,0.0
Phil Harris,Billy,Phil,Harris,22,12,0,64,125,65,Orthodox,"Sep 04, 1983",38,2.34,0.26,3.16,0.68,1.76,0.21,0.6,0.0
Nasrat Haqparast,,Nasrat,Haqparast,13,5,0,70,155,72,Southpaw,"Aug 22, 1995",26,5.17,0.45,4.7,0.66,0.13,0.14,0.78,0.0
James Hammortree,The Sledge,James,Hammortree,6,3,0,75,185,N/A,Orthodox,"Nov 29, 1983",38,1.93,0.3,4.13,0.44,2.0,0.5,1.0,1.0
Janay Harding,Hollowpoint,Janay,Harding,2,3,0,N/A,135,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Hamman,The Messenger,Jared,Hamman,14,6,0,75,185,75,Orthodox,"Mar 07, 1982",40,5.15,0.42,3.93,0.55,1.57,0.46,0.3,0.0
Joachim Hansen,Hellboy,Joachim,Hansen,23,14,1,67,150,N/A,Southpaw,"May 26, 1979",42,2.01,0.43,2.04,0.58,2.21,0.58,0.34,1.9
CJ Hamilton,The Autobot,CJ,Hamilton,11,4,0,67,125,68,Switch,"Oct 07, 1986",35,2.47,0.31,3.93,0.58,0.0,0.0,0.62,0.0
Dean Hancock,The Hammer,Dean,Hancock,2,1,0,N/A,155,N/A,N/A,N/A,N/A,7.97,0.63,1.94,0.67,1.71,0.33,0.75,1.7
Antoni Hardonk,,Antoni,Hardonk,8,6,0,76,245,78,Orthodox,"Feb 05, 1976",46,3.4,0.61,3.07,0.46,0.0,0.0,0.4,0.9
Kay Hansen,,Kay,Hansen,7,6,0,62,115,63,Orthodox,"Aug 14, 1999",22,3.01,0.5,3.19,0.51,1.83,0.22,0.37,0.8
Anthony Hamilton,Freight Train,Anthony,Hamilton,15,9,0,77,260,76,Orthodox,"Apr 14, 1980",42,3.91,0.65,3.02,0.45,2.62,0.42,0.78,0.0
Kazuhiro Hamanaka,,Kazuhiro,Hamanaka,5,7,1,72,185,N/A,Southpaw,"Oct 24, 1978",43,1.7,0.37,0.91,0.6,0.0,0.0,0.5,0.0
Frank Hamaker,,Frank,Hamaker,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Hamilton,Hawk,Jeremy,Hamilton,9,2,0,N/A,185,N/A,N/A,"Nov 14, 1984",37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seo Hee Ham,,Seo,Hee,17,8,0,62,115,62,Southpaw,"Mar 08, 1987",35,4.2,0.39,5.15,0.61,0.0,0.0,0.66,0.2
John Halverson,The Hurricane,John,Halverson,16,8,0,69,155,N/A,Southpaw,"Sep 08, 1972",49,2.94,0.43,5.29,0.47,0.0,0.0,0.66,2.0
Matt Hamill,The Hammer,Matt,Hamill,12,8,0,73,205,76,Orthodox,"Oct 05, 1976",45,3.69,0.42,3.8,0.61,3.0,0.34,0.91,0.0
Tony Halme,,Tony,Halme,0,4,0,75,300,N/A,Orthodox,"Jan 06, 1963",59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piotr Hallmann,Pletwal,Piotr,Hallmann,18,6,0,69,155,71,Orthodox,"Aug 25, 1987",34,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4
Kevin Haley,The North Woods Nightmare,Kevin,Haley,6,4,0,74,205,N/A,N/A,N/A,N/A,0.87,0.59,0.87,0.64,3.0,1.0,0.0,2.0
Brandon Halsey,Bull,Brandon,Halsey,9,3,0,72,185,N/A,N/A,"Sep 16, 1986",35,1.74,0.47,0.87,0.65,4.98,0.53,1.0,1.2
Dennis Hallman,Superman,Dennis,Hallman,53,20,2,69,155,72,Orthodox,"Dec 02, 1975",46,1.12,0.44,1.96,0.43,1.79,0.3,0.25,2.1
Mark Hall,,Mark,Hall,5,6,0,72,190,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Hall,The Wizard,Ryan,Hall,9,2,0,70,145,70,Southpaw,"Feb 22, 1985",37,2.38,0.5,1.33,0.65,0.22,0.09,0.0,2.2
Stoney Hale,The Skuller,Stoney,Hale,5,3,0,72,N/A,N/A,N/A,"Oct 18, 1979",42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uriah Hall,Prime Time,Uriah,Hall,18,10,0,72,185,79,Orthodox,"Jul 31, 1984",37,3.47,0.49,4.07,0.54,0.58,0.38,0.65,0.2
Yazan Hajeh,Yazzle Dazzle,Yazan,Hajeh,6,1,0,69,145,N/A,Orthodox,"Sep 04, 1992",29,1.54,0.25,17.44,0.44,0.0,0.0,1.0,0.0
Damir Hadzovic,The Bosnian Bomber,Damir,Hadzovic,14,6,0,69,155,70,Orthodox,"Aug 08, 1986",35,3.92,0.48,3.7,0.62,0.92,0.62,0.37,0.2
Steve Hadsel,,Steve,Hadsel,3,0,0,68,170,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Hadley,White Kong,Jake,Hadley,8,0,0,67,125,70,Southpaw,"Aug 03, 1996",25,3.18,0.43,2.57,0.74,1.83,1.0,0.33,3.7
